movie_id,title,question
1970,The Grudge,american nurse tokyo curse
1970,The Grudge,supernatural rage killing curse
1970,The Grudge,haunted house curse deaths
1970,The Grudge,infectious rage ghost curse
1970,The Grudge,horror mystery in tokyo
11610,"Play It Again, Sam",film critic dating again
11610,"Play It Again, Sam",married couple love advice
11610,"Play It Again, Sam",imaginary movie star mentor
11610,"Play It Again, Sam",wife leaves lonely critic
11610,"Play It Again, Sam",classic movie obsession romance
17684,Chouchou,illegal immigrant in Paris
17684,Chouchou,psychotherapist assistant waiter
17684,Chouchou,transvestite cabaret waiter
17684,Chouchou,searching for missing nephew
17684,Chouchou,comedy about cabaret life
443319,Phoenix Forgotten,missing teens footage lights
443319,Phoenix Forgotten,found tape alien lights
443319,Phoenix Forgotten,desert expedition final hours
443319,Phoenix Forgotten,three teens disappear night
443319,Phoenix Forgotten,unseen footage mystery lights
11205,Wheels on Meals,mobile restaurant rescue
11205,Wheels on Meals,bumbling private detective
11205,Wheels on Meals,pickpocket rescue romance
11205,Wheels on Meals,cousins food truck crime
11205,Wheels on Meals,action comedy restaurant chase
71254,Arena,forced gladiator arena
71254,Arena,men fight to death
71254,Arena,online audience death match
71254,Arena,modern combat tournament
71254,Arena,future arena bloodsport
9491,Blue Steel,rookie cop robbery witness
9491,Blue Steel,armed robbery goes wrong
9491,Blue Steel,cop stalked by witness
9491,Blue Steel,cat and mouse police thriller
9491,Blue Steel,obsessed witness with gun
363,Head-On,suicidal woman arranged marriage
363,Head-On,strict family restrictions marriage
363,Head-On,young woman addict husband
363,Head-On,jealous love drama romance
363,Head-On,marriage of convenience addict
12223,The Stepford Wives,suburban wives robot conspiracy
12223,The Stepford Wives,creepy perfect housewives
12223,The Stepford Wives,family moves to eerie town
12223,The Stepford Wives,husbands replace women androids
12223,The Stepford Wives,mystery in quiet suburb
11980,The Prophecy,fallen angel soul hunt
11980,The Prophecy,former priest stops angel
11980,The Prophecy,little girl versus demon
11980,The Prophecy,heaven war on earth
11980,The Prophecy,supernatural thriller priest child
244566,Life After Beth,dead girlfriend returns
244566,Life After Beth,undead romance comedy
244566,Life After Beth,grieving man second chance
244566,Life After Beth,mysterious resurrection relationship
244566,Life After Beth,love turns into horror
446696,Life Itself,college romance marriage child
446696,Life Itself,young couple first baby
446696,Life Itself,family drama across continents
446696,Life Itself,unexpected twists of marriage
446696,Life Itself,new parents long journey
27414,"Silent Night, Deadly Night",killer santa parents murdered
27414,"Silent Night, Deadly Night",in-store santa terror
27414,"Silent Night, Deadly Night",childhood trauma holiday killer
27414,"Silent Night, Deadly Night",department store santa slasher
27414,"Silent Night, Deadly Night",masked santa horror film
11860,Sabrina,makeover crush romance
11860,Sabrina,playboy brother business
11860,Sabrina,ugly duckling transformation
11860,Sabrina,sister falls for playboy
11860,Sabrina,family business love triangle
11348,Fragile,haunted children's hospital
11348,Fragile,nurse protects sick kids
11348,Fragile,ghost blocks hospital exits
11348,Fragile,antiquated ward haunted by ghost
11348,Fragile,children fear hospital spirit
157851,Maps to the Stars,Hollywood family drama
157851,Maps to the Stars,fame and validation
157851,Maps to the Stars,celebrity chasing relatives
157851,Maps to the Stars,dysfunctional family ghosts
157851,Maps to the Stars,showbiz family tragedy
168,Star Trek IV: The Voyage Home,time travel save Earth
168,Star Trek IV: The Voyage Home,alien threat oceans vanish
168,Star Trek IV: The Voyage Home,crew in 1986 city
168,Star Trek IV: The Voyage Home,punks pizza buses
168,Star Trek IV: The Voyage Home,spaceship mission to past
11327,Midnight Express,drug smuggling prison
11327,Midnight Express,american jailed in turkey
11327,Midnight Express,lawyer family appeals
11327,Midnight Express,escape from foreign prison
11327,Midnight Express,long prison sentence
24001,The Hills Run Red,lost horror film fans
24001,The Hills Run Red,killer from vanished movie
24001,The Hills Run Red,search for missing movie
24001,The Hills Run Red,teen horror fans hunted
24001,The Hills Run Red,gruesome art killer
60599,Arbitrage,hedge fund sale crisis
60599,Arbitrage,trading empire mistake
60599,Arbitrage,finance mogul asks help
60599,Arbitrage,desperate stock broker deal
60599,Arbitrage,corporate takeover thriller
454293,Night School,salesman night school GED
454293,Night School,exploding workplace accident
454293,Night School,misfit adult students
454293,Night School,former school nemesis rivalry
454293,Night School,feisty teacher class
43947,I Spit on Your Grave,writer rents riverside apartment
